3,000656,50,30,60,40,30,30,40,30,40,2023-01-12
3,000657,40,50,50,40,30,30,10,40,50,2023-01-12
3,000658,40,50,50,40,40,40,10,50,60,2023-01-12
3,000661,40,60,50,40,40,40,0,30,50,2023-01-12
3,000662,40,60,40,50,40,40,0,40,50,2023-01-12
3,000664,50,50,50,50,40,30,10,40,40,2023-01-12
3,000665,40,50,50,40,30,30,10,40,50,2023-01-12
3,000666,40,50,50,40,30,40,0,40,50,2023-01-12
3,000668,40,70,40,50,30,40,0,50,50,2023-01-12
3,000669,40,40,40,50,30,30,40,40,50,2023-01-12
3,000670,40,50,70,50,40,40,0,40,70,2023-01-12
3,000672,40,60,40,60,30,40,0,20,40,2023-01-12
3,000673,40,20,40,30,20,20,70,20,40,2023-01-12
3,000676,30,80,60,60,40,50,0,50,60,2023-01-12
3,000694,50,40,60,50,30,40,10,30,50,2023-01-12
3,000696,40,60,60,60,30,20,0,50,70,2023-01-12
3,000697,50,60,70,50,40,40,0,30,60,2023-01-12
3,000698,40,60,40,40,30,30,0,30,50,2023-01-12
3,000700,30,60,40,40,30,40,0,40,50,2023-01-12
3,000701,30,50,50,50,30,30,0,30,50,2023-01-12
3,000702,50,30,60,60,30,40,0,30,50,2023-01-12
3,000703,40,30,70,40,30,20,10,20,60,2023-01-12
3,000704,40,70,70,60,30,40,0,20,70,2023-01-12
3,000706,50,30,70,50,30,40,0,30,60,2023-01-12
3,000707,50,50,40,40,20,30,0,30,40,2023-01-12
3,000708,30,30,60,30,20,40,0,20,60,2023-01-12
3,000710,30,30,60,30,30,40,0,20,60,2023-01-12
3,000712,40,50,70,60,30,40,30,30,70,2023-01-12
3,000714,40,60,50,50,30,40,0,30,60,2023-01-12
3,000715,20,40,20,80,50,20,80,10,80,2023-01-12
3,000716,40,60,60,60,50,30,0,40,60,2023-01-12
3,000717,60,30,50,30,30,30,40,40,50,2023-01-12
3,000719,40,70,60,60,40,50,0,20,40,2023-01-12
3,000720,40,50,50,60,50,40,10,30,50,2023-01-12
3,000721,60,40,60,50,30,40,0,30,50,2023-01-12
3,000722,40,30,60,40,50,30,70,30,70,2023-01-12
3,000724,40,40,70,50,30,20,0,50,60,2023-01-12
3,000725,30,60,80,60,40,40,0,50,80,2023-01-12
3,000727,50,50,60,60,40,20,10,40,60,2023-01-12
3,000728,70,70,60,80,30,40,0,40,80,2023-01-12
3,000729,40,50,50,50,40,30,0,40,60,2023-01-12
3,000730,40,40,50,50,30,30,50,30,50,2023-01-12
3,000732,60,50,50,60,30,40,0,60,60,2023-01-12
